SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
2632,5,3,Rural,1983,276882.12844961474
2111,5,3,Rural,1996,218625.2018142306
1181,5,3,Rural,1986,132678.43159440754
1734,5,1,Rural,1960,167181.83839836187
1146,5,1,Rural,2002,206526.79094137566
2232,5,3,Rural,1976,330475.73746661854
2781,5,1,Rural,1981,237828.15680188523
1441,5,2,Rural,1981,176424.75013784468
1127,5,3,Rural,2021,46604.933798007885
2499,5,3,Rural,2011,355644.9174692472
1818,5,2,Rural,1961,167977.874034214
2394,5,3,Rural,1971,265483.85703241726
2785,5,2,Rural,1956,307795.16618577053
1200,5,2,Rural,2001,224677.76635035287
2636,5,2,Rural,2010,216457.7520279655
1956,5,2,Rural,1978,191179.46549111058
2942,5,1,Rural,1975,355453.8508515868
2542,5,1,Rural,2005,295046.5885180142
1826,5,1,Rural,2020,200778.2221278005
1934,5,1,Rural,1976,236449.44453173518
1994,5,3,Rural,1987,220428.36603157982
2175,5,2,Rural,1980,277838.5408131625
2550,5,2,Rural,2001,323731.1028035309
1920,5,1,Rural,2010,205012.274411916
1893,5,2,Rural,1985,194715.8848861503
2473,5,1,Rural,2002,279766.3872648012
2193,5,1,Rural,1976,298595.9668202735
1413,5,1,Rural,1961,190013.67328150195
2762,5,3,Rural,1967,271410.7390071376
1925,5,3,Rural,1960,248305.6057017832
2382,5,3,Rural,1996,152940.81949787936
1388,5,3,Rural,1974,204918.56629458867
1145,5,3,Rural,1957,208313.0492172933
1292,5,1,Rural,1967,243349.4621316425
1704,5,1,Rural,2018,131437.23291390252
2163,5,2,Rural,2011,207849.04356461152
1563,5,3,Rural,1969,215754.25987098797
1884,5,2,Rural,1978,235692.4387484323
2266,5,2,Rural,2017,274929.0570799256
2516,5,2,Rural,1969,198758.14907521536
1225,5,2,Rural,1961,139486.18479401988
1936,5,3,Rural,2015,133114.72986679367
2797,5,2,Rural,2006,254524.73498860837
2513,5,3,Rural,1962,340864.02426433563
1849,5,2,Rural,1963,213866.0696755708
2762,5,3,Rural,2017,311607.42577675974
2112,5,3,Rural,1983,274918.14861118473
2933,5,1,Rural,1990,268734.459347827
1737,5,1,Rural,1960,271820.6468529592
1983,5,1,Rural,1954,297003.6532153373
1223,5,1,Rural,1951,195594.93291196646
1348,5,2,Rural,1972,210651.25186885573
1760,5,2,Rural,1975,204776.1015077593
1674,5,3,Rural,1977,148330.90116107778
1915,5,3,Rural,1975,215103.30748261305
1885,5,3,Rural,1976,211827.49410128
1284,5,1,Rural,1952,153240.7070175202
2561,5,1,Rural,1986,220717.32924573496
2045,5,3,Rural,1984,315832.57939003385
2976,5,2,Rural,2002,274366.54960155865
2476,5,1,Rural,2014,234042.23251880394
1569,5,1,Rural,2008,171448.5958586793
1984,5,3,Rural,1960,235067.4461220366
1198,5,2,Rural,1993,174996.67349454723
1898,5,3,Rural,2002,214380.94145792737
2581,5,2,Rural,1986,256840.8286264889
2013,5,1,Rural,2017,203684.75634211436
1500,5,3,Rural,2010,247409.44236948743
2389,5,3,Rural,1982,251954.0099454382
2518,5,2,Rural,2008,291236.89069440623
1713,5,3,Rural,1970,230572.41045671623
2126,5,2,Rural,1978,208562.94161594767
2328,5,2,Rural,2013,250847.45970327736
1773,5,2,Rural,2010,178547.44137124636
2287,5,3,Rural,2011,310456.1576377979
2863,5,1,Rural,1955,341675.4419366117
1894,5,1,Rural,2007,232071.03661808462
1808,5,3,Rural,1951,234896.2660481647
1694,5,2,Rural,1981,220889.5646081667
2982,5,2,Rural,1958,372958.4234039243
1294,5,3,Rural,1983,186226.9624173399
1636,5,3,Rural,1965,227329.30764911542
1099,5,2,Rural,1983,238587.9118723628
1939,5,3,Rural,2015,126323.69332080711
1230,5,1,Rural,1982,188892.784714348
1129,5,1,Rural,1962,156642.31326342694
1269,5,2,Rural,1980,170431.00535455588
2384,5,2,Rural,1970,202822.9425914517
1575,5,3,Rural,1966,232085.4902161903
1885,5,2,Rural,1952,236471.97370843723
2227,5,2,Rural,2004,284922.6181090101
2665,5,3,Rural,1997,344862.86031074636
2082,5,1,Rural,1993,195175.95397910592
2329,5,1,Rural,1994,260713.67792424426
1587,5,2,Rural,1985,216737.29048699938
2863,5,3,Rural,2001,357263.9717063415
1344,5,2,Rural,2006,181088.9830301273
1703,5,1,Rural,1952,173333.02846712072
1687,5,3,Rural,1975,159312.68235190216
2182,5,2,Rural,1986,237292.36033278538
2125,5,3,Rural,2010,278907.4354250051
1304,5,3,Rural,1958,210829.51109351704
2316,5,1,Rural,2018,215415.3337485653
1335,5,2,Rural,1996,207957.92747824916
2806,5,3,Rural,1966,358092.415606291
1788,5,1,Rural,2008,109080.5902500728
1290,5,3,Rural,1994,237567.6010999809
1311,5,2,Rural,1959,185353.77384377277
2798,5,2,Rural,1951,331331.7458056055
1009,5,3,Rural,1985,110870.70487304397
2656,5,2,Rural,2012,304907.98966953397
2177,5,2,Rural,1953,199418.54644240515
1858,5,1,Rural,2021,172653.7246346492
1482,5,3,Rural,1998,218885.74676663743
1440,5,2,Rural,1996,200346.55053353767
2603,5,2,Rural,1957,248625.02194432233
1287,5,3,Rural,2020,172234.7428736868
2735,5,2,Rural,2017,298865.5495407193
2282,5,1,Rural,2021,277838.5536529582
2195,5,2,Rural,2009,194148.8068355202
2656,5,1,Rural,1999,173033.963628569
1748,5,2,Rural,1950,236602.18701309833
2689,5,2,Rural,2010,267700.7541619928
2489,5,3,Rural,1960,229651.58275489695
1593,5,1,Rural,1989,203422.2553533653
2452,5,2,Rural,1961,364024.41722651734
2239,5,3,Rural,1980,245378.18863564264
2549,5,2,Rural,2005,287182.5971163202
1858,5,2,Rural,1968,271613.636098798
2985,5,1,Rural,1961,456959.80436673044
1094,5,2,Rural,1977,42159.00376463884
2676,5,3,Rural,1965,346205.2457136336
1286,5,1,Rural,1950,189473.96440478554
1100,5,3,Rural,1987,50210.145493767894
1819,5,2,Rural,1989,195750.45833077686
1819,5,3,Rural,2007,144517.71043034503
2726,5,2,Rural,1971,388796.7966849339
2668,5,2,Rural,1974,251495.56565445368
2614,5,3,Rural,2004,275197.2382956714
2446,5,2,Rural,1962,320600.3096705049
2036,5,3,Rural,1957,258202.42355481954
1492,5,3,Rural,1979,191101.74936521865
1699,5,2,Rural,1987,285620.44565550744
1394,5,3,Rural,1997,138880.1013688666
2250,5,1,Rural,1963,225151.19400445436
1020,5,3,Rural,1952,98716.03834886327
2033,5,1,Rural,1992,180347.89610253618
1955,5,2,Rural,1990,238773.31244407827
1855,5,3,Rural,1987,217283.7707998167
1939,5,3,Rural,2004,260253.77502986038
1448,5,1,Rural,1988,66486.86231981957
1100,5,2,Rural,1989,182859.9475248312
1147,5,3,Rural,2014,67321.37160102843
1276,5,1,Rural,2008,165273.77245649003
2849,5,2,Rural,1959,319329.4672416855
1961,5,3,Rural,1990,216560.99307333984
1769,5,1,Rural,1958,237649.0971434748
1373,5,3,Rural,2008,132497.99060398125
2311,5,2,Rural,1956,305474.8656206039
2425,5,2,Rural,1966,298145.6938372134
1984,5,2,Rural,2013,217392.23784911964
1660,5,1,Rural,1968,203439.90257976082
1202,5,2,Rural,1984,250758.4083605866
2067,5,1,Rural,1979,281590.0395577791
2724,5,3,Rural,1963,358648.7381281756
2923,5,2,Rural,1988,359085.9998991005
2247,5,1,Rural,1964,243800.54908298497
2514,5,3,Rural,1993,276918.75464829366
2033,5,3,Rural,1965,266828.8048382241
2416,5,3,Rural,1967,310962.8740137641
1597,5,1,Rural,1957,172280.06527021615
2093,5,2,Rural,1977,309180.0719206039
1404,5,2,Rural,2005,77075.49363805662
1941,5,2,Rural,1966,222369.35574008644
1940,5,1,Rural,1983,178111.57650438685
1161,5,3,Rural,1970,195354.3033983911
2938,5,2,Rural,2013,241186.57093123003
1210,5,1,Rural,2019,89705.15850248869
1018,5,1,Rural,1970,152476.63906536892
2651,5,3,Rural,1966,331022.45915744297
1762,5,1,Rural,2000,150840.44018456154
1546,5,1,Rural,2007,184503.34016019758
2336,5,2,Rural,2016,257880.2459664213
2861,5,3,Rural,1969,360769.34900755034
1581,5,1,Rural,2014,180417.33373360918
1671,5,3,Rural,1992,97986.3885296839
1491,5,3,Rural,2021,203129.93845698924
1164,5,3,Rural,1973,204859.34739696927
1983,5,1,Rural,2007,208323.6119075167
1852,5,3,Rural,2013,152756.87288579042
2931,5,1,Rural,1983,453551.1254693392
1424,5,2,Rural,2005,138052.91773656948
1841,5,3,Rural,2013,185884.92331082368
1242,5,3,Rural,2013,222880.0086542109
1560,5,2,Rural,1961,213618.56753198293
2177,5,2,Rural,2015,204084.14103505493
2819,5,2,Rural,1982,356575.6927155566
1446,5,2,Rural,2017,70829.8174967861
2011,5,1,Rural,2008,244904.17061339252
1503,5,1,Rural,2002,223601.16489615812
2609,5,2,Rural,1960,321602.60246500873
1774,5,3,Rural,1990,144503.00579327147
2023,5,1,Rural,2021,234453.79245706677
1687,5,1,Rural,2011,159679.72205510119
2241,5,3,Rural,2015,195312.50140127193
1980,5,1,Rural,1987,242969.5914191276
1306,5,1,Rural,1974,68571.64038865441
2089,5,3,Rural,1961,249983.33314095263
2958,5,2,Rural,2002,386060.18899263995
2683,5,1,Rural,2019,281391.5305378192
2602,5,1,Rural,1989,375442.84100844536
1392,5,3,Rural,1971,119260.33988517837
1082,5,3,Rural,1966,224304.79046199794
2398,5,3,Rural,1979,216310.21621402664
2460,5,2,Rural,1996,216100.23622921517
1672,5,3,Rural,1973,274736.8882661689
2085,5,2,Rural,1964,311118.6736565156
1405,5,1,Rural,1999,169089.17907136187
1231,5,1,Rural,1964,175360.04977354003
2429,5,3,Rural,2009,174262.5224689405
2455,5,1,Rural,1986,289615.34035787935
1748,5,2,Rural,1991,196115.31511034863
2847,5,1,Rural,1986,262925.8906679432
1703,5,2,Rural,1950,112518.30854194165
2574,5,1,Rural,2018,289319.9619508007
1000,5,3,Rural,2000,72076.31198067534
1583,5,1,Rural,1958,302767.1724714075
1444,5,1,Rural,1964,93572.7326716159
2682,5,1,Rural,2006,326169.44438275334
2107,5,2,Rural,2001,216101.81593722833
2401,5,2,Rural,1994,239283.83511657044
2958,5,1,Rural,1988,314293.04220245307
1909,5,2,Rural,1963,239942.968288998
2107,5,2,Rural,1979,241059.89707549757
2236,5,2,Rural,1975,321311.4733435239
1222,5,1,Rural,1956,99768.142553191
2431,5,2,Rural,1960,301366.2997957822
2179,5,3,Rural,1956,197012.79052815796
1846,5,3,Rural,1957,239698.0122940527
2216,5,1,Rural,1956,189174.04942670147
2692,5,2,Rural,1997,367198.78405638563
2467,5,3,Rural,2009,324024.1039263615
1880,5,3,Rural,1992,238701.8144940898
1324,5,1,Rural,2001,194064.95276212005
2367,5,2,Rural,1968,368184.357971205
1556,5,3,Rural,1950,151908.09291089242
2689,5,1,Rural,1966,376763.80770061637
2178,5,1,Rural,1958,306467.87442470965
1362,5,1,Rural,1988,144986.9272122501
1124,5,1,Rural,1957,110375.85935416314
1200,5,2,Rural,1951,112562.6682703433
2936,5,3,Rural,1996,381014.04250401375
2188,5,2,Rural,1982,264786.0527026637
2932,5,2,Rural,1975,317682.34733778395
2408,5,3,Rural,1960,363464.9410367368
2873,5,3,Rural,1970,273488.78640023875
2687,5,1,Rural,1961,323685.51926351566
1665,5,3,Rural,1962,157855.56617292238
2785,5,2,Rural,1985,356441.1138476141
2610,5,1,Rural,2009,306545.1981991349
1498,5,1,Rural,1958,160602.68564903742
2714,5,2,Rural,2001,299599.0700213658
1442,5,2,Rural,1966,152902.47251904337
1286,5,3,Rural,1986,157496.05013075573
2372,5,1,Rural,1992,216848.41710578682
1024,5,3,Rural,2018,166975.69303160525
1647,5,1,Rural,2020,138120.766248654
1941,5,2,Rural,1990,243472.88767771883
2381,5,2,Rural,1999,210605.225976174
2590,5,3,Rural,2006,351277.9661773439
1732,5,1,Rural,2021,166407.45259314697
2905,5,2,Rural,1992,288533.0590235478
2201,5,2,Rural,1997,255837.30116150482
2584,5,3,Rural,1981,192298.32910221972
2119,5,1,Rural,1992,224268.1111155939
2366,5,1,Rural,2021,260777.2308945946
2960,5,1,Rural,2018,299961.8220235842
1324,5,3,Rural,2003,86105.70702939913
2180,5,2,Rural,2018,293130.67049797287
2674,5,3,Rural,1981,327005.4591958142
1197,5,3,Rural,2020,154616.6559199791
2940,5,3,Rural,1977,305965.4419326343
2475,5,2,Rural,2021,234285.0791854757
2327,5,2,Rural,1956,261041.50113608953
2123,5,3,Rural,1955,236581.5010719313
1897,5,1,Rural,1973,344022.8214121614
1951,5,3,Rural,1988,214594.01072179235
1273,5,1,Rural,1961,136840.75059411308
1487,5,3,Rural,1988,155845.7168116159
2067,5,2,Rural,1994,177724.09474904885
1540,5,2,Rural,1982,322922.6599266492
2627,5,3,Rural,1962,294885.2162166584
1554,5,2,Rural,1963,202109.8097532994
1775,5,2,Rural,1965,268162.71491771477
1643,5,2,Rural,1982,152736.93848848096
2147,5,3,Rural,1953,216305.76002829816
1515,5,3,Rural,2006,183054.35211667744
1630,5,2,Rural,2013,215368.56409974876
2166,5,3,Rural,1988,274611.20475171914
1563,5,2,Rural,2020,181083.9602405413
1247,5,3,Rural,1961,225244.72923075952
2744,5,3,Rural,2000,306275.9162689041
2515,5,3,Rural,2018,276150.51181855425
2704,5,3,Rural,1993,319494.5715469984
2162,5,1,Rural,1993,296209.161672246
2296,5,3,Rural,2020,293362.58468356996
1420,5,2,Rural,1964,95972.77381145592
1321,5,3,Rural,1962,126514.68911570293
1888,5,1,Rural,2021,303453.81597937795
2676,5,1,Rural,1972,285306.9420002641
2288,5,1,Rural,1978,309114.98906618194
2695,5,1,Rural,1968,266754.4048218928
1600,5,3,Rural,1950,173378.20878867482
2634,5,3,Rural,2007,232377.86892389975
1115,5,1,Rural,2019,123758.36679485536
2114,5,3,Rural,1979,194760.8670974249
1404,5,3,Rural,1988,214871.17870261226
2982,5,3,Rural,2014,388457.31283629575
1278,5,3,Rural,1972,194061.9419680958
1824,5,3,Rural,1967,254232.53531200072
2784,5,3,Rural,2018,387397.49012421246
2380,5,3,Rural,1962,337722.8517284525
1383,5,2,Rural,1972,98823.44042547572
2838,5,2,Rural,1985,280662.82452216686
2135,5,3,Rural,1991,270112.0816404085
2970,5,2,Rural,2010,395595.87968679523
1205,5,1,Rural,2011,92533.81917476459
2070,5,1,Rural,1959,240948.80768954512
2574,5,1,Rural,2021,273329.2277297431
1660,5,1,Rural,1962,232547.8564503654
2991,5,3,Rural,1983,356890.1135923878
1752,5,2,Rural,1971,124242.93506741791
2594,5,1,Rural,1965,296294.49882593506
1976,5,2,Rural,2014,294480.8820620983
1504,5,1,Rural,1951,201450.35520118635
2658,5,3,Rural,1980,253773.4936067328
2856,5,2,Rural,1972,316507.41915355856
2214,5,2,Rural,2004,235309.46813126572
2752,5,1,Rural,1957,309400.95693060994
2827,5,2,Rural,1962,237937.34157841146
2111,5,1,Rural,1988,169177.62622970587
2914,5,3,Rural,1976,379499.92783924955
2164,5,3,Rural,1990,174156.69146162565
1261,5,1,Rural,1970,217971.30937665276
1244,5,3,Rural,2018,128451.25282174072
2598,5,3,Rural,2004,317665.5390070366
1182,5,3,Rural,1991,148902.48334822868
1962,5,2,Rural,1985,199051.4141443479
2806,5,2,Rural,1958,407453.75260687934
2123,5,1,Rural,1968,247132.1683229464
2567,5,2,Rural,1987,276231.09166212927
1825,5,1,Rural,1985,192201.37182082358
1700,5,3,Rural,1979,280802.9035321935
2338,5,2,Rural,1987,167006.3345872518
2537,5,2,Rural,1985,348507.90244428476
2202,5,2,Rural,2008,187296.2695189832
2863,5,1,Rural,1979,316241.9661254384
2147,5,3,Rural,1970,283712.70224403706
2149,5,2,Rural,1960,278776.05180740746
1018,5,1,Rural,1950,196520.96075751848
1558,5,3,Rural,2019,171407.81116483617
1451,5,1,Rural,1988,145266.26999888613
2164,5,1,Rural,2016,264051.60642785305
1713,5,2,Rural,1956,111175.93741434695
2415,5,3,Rural,1958,186944.25333126914
1201,5,2,Rural,2004,41107.0889603307
2435,5,2,Rural,2010,335501.3125662628
2606,5,2,Rural,1986,356704.0774662707
2815,5,2,Rural,1966,319236.32059763104
1021,5,1,Rural,1967,134488.3780509948
2318,5,1,Rural,2009,211335.73253318277
1229,5,1,Rural,1975,180408.20382067034
2466,5,1,Rural,1958,248655.23817113927
1099,5,3,Rural,2021,188832.9230987682
1257,5,1,Rural,1993,184030.41872348648
2475,5,1,Rural,1999,326369.80436585285
2338,5,2,Rural,2020,252925.97845991995
2472,5,2,Rural,1950,286712.94074324385
2920,5,2,Rural,1969,417703.7837584446
1045,5,1,Rural,2016,109488.02624675943
1841,5,2,Rural,1959,200962.80854028498
2818,5,2,Rural,2020,385294.3608851006
2530,5,3,Rural,1997,213561.08888388216
1643,5,3,Rural,1980,174974.1550812796
1042,5,2,Rural,2015,124613.14294574616
1376,5,3,Rural,2005,123162.16796158036
2064,5,1,Rural,1964,286026.3695067628
2389,5,1,Rural,1984,276347.2809534471
2361,5,2,Rural,1955,172221.6341718504
2573,5,1,Rural,1980,297363.62804745045
1864,5,1,Rural,2010,190925.36961717455
1679,5,3,Rural,2004,149181.83450821045
1419,5,3,Rural,2018,308380.93450078927
2208,5,3,Rural,2006,187653.0527855248
2026,5,2,Rural,1975,267265.4364092848
1644,5,2,Rural,1987,279303.9051919263
2887,5,2,Rural,2000,297068.21738625976
1806,5,1,Rural,2016,95723.10421577172
1096,5,2,Rural,2005,112749.44587464217
1661,5,2,Rural,1973,294372.8204742127
1260,5,2,Rural,1975,183244.10493816438
1470,5,3,Rural,1982,253431.78217097474
1498,5,2,Rural,2008,166968.2485490734
2377,5,1,Rural,1967,261583.91968129188
1140,5,3,Rural,1966,189801.40170137296
1924,5,1,Rural,1981,285203.1928206893
1016,5,2,Rural,1997,-13803.68405898445
1540,5,1,Rural,1967,215851.11799445446
2096,5,1,Rural,1961,238881.96111031383
1658,5,2,Rural,1978,223130.4822428307
1332,5,1,Rural,2014,65452.44890227434
2874,5,1,Rural,1997,213460.49313805805
2595,5,1,Rural,1952,309491.21726193867
2882,5,2,Rural,1978,357769.4695248327
2159,5,3,Rural,1977,217829.27682344432
2337,5,2,Rural,2010,321211.5754299672
2744,5,1,Rural,1962,308630.0423992716
1726,5,1,Rural,2014,174249.05874532598
1990,5,2,Rural,2014,231721.42760882757
1527,5,1,Rural,1954,245402.43434656248
1513,5,2,Rural,2011,249369.96059355774
1061,5,3,Rural,2008,112315.26582181483
1060,5,2,Rural,1967,222475.89144082303
2645,5,1,Rural,2001,260852.9742576262
2804,5,1,Rural,1959,264158.9153006743
1768,5,2,Rural,1961,287660.0823389666
2573,5,2,Rural,1975,293908.40498392144
1298,5,3,Rural,1998,159902.05203265598
1798,5,2,Rural,2004,295225.79565366416
2698,5,1,Rural,2017,340410.2543524122
2718,5,1,Rural,1954,250808.66938029125
2688,5,1,Rural,2008,303176.4538972883
2923,5,2,Rural,1968,333738.54075102456
1169,5,1,Rural,1952,193430.65946032395
2178,5,3,Rural,1986,284365.6357098797
2590,5,2,Rural,2000,287768.9365814012
2098,5,3,Rural,1952,293242.5565163813
2874,5,2,Rural,2004,362942.63715887687
2678,5,1,Rural,2013,218049.94599910808
2777,5,3,Rural,1953,293305.9878160801
2066,5,2,Rural,1994,251459.15797584562
2461,5,1,Rural,1994,367216.89207662316
1829,5,2,Rural,1966,183876.75618464034
2238,5,3,Rural,1963,359208.6032677146
1606,5,3,Rural,2020,211202.2997582316
2757,5,1,Rural,1954,281352.4627058502
2332,5,2,Rural,1963,201217.10893048596
2938,5,3,Rural,2006,346974.0118574903
2969,5,3,Rural,1991,271766.82323577127
1927,5,2,Rural,1959,173302.51324455108
1055,5,1,Rural,1990,161076.8640429987
2109,5,1,Rural,1968,141759.9432285219
2918,5,2,Rural,1966,220423.61205993732
2665,5,3,Rural,2013,315216.2853954758
1095,5,3,Rural,2007,141326.4278077955
2294,5,3,Rural,1964,240959.42210429744
1678,5,3,Rural,2013,220688.0255135072
1659,5,3,Rural,2020,210213.00028662552
2462,5,3,Rural,1991,325428.9854996205
1829,5,3,Rural,1997,220063.00110102425
1876,5,3,Rural,2002,224748.99048775824
2252,5,1,Rural,2013,173242.35553714004
1978,5,2,Rural,2005,230514.29241066126
2155,5,1,Rural,2010,251948.5994891623
2474,5,1,Rural,2013,241334.87819622958
1719,5,1,Rural,2002,257311.31616182186
1005,5,2,Rural,1978,74634.21386331253
2229,5,1,Rural,2016,313144.08747880603
1275,5,2,Rural,1979,134086.02110328028
1336,5,2,Rural,1955,175817.85140413052
1910,5,2,Rural,1983,189789.8742141315
1012,5,3,Rural,2015,155825.70869318873
1607,5,2,Rural,1978,185529.89174308922
1237,5,1,Rural,1967,181555.40529952178
1660,5,2,Rural,1974,159156.85604686447
1383,5,3,Rural,1955,146855.64411803542
1416,5,3,Rural,1997,150779.23504186491
2390,5,3,Rural,2014,321254.1438015034
2866,5,1,Rural,1983,319998.3263433981
1505,5,3,Rural,2015,179176.10093769355
2748,5,2,Rural,1971,326655.56854351313
1945,5,1,Rural,1995,272705.753442551
1816,5,2,Rural,1976,171509.18756934677
2051,5,3,Rural,1974,322899.5891783243
2749,5,2,Rural,1974,348298.34744274215
2699,5,3,Rural,1994,257040.4964163642
2378,5,1,Rural,2017,288165.08728491125
2831,5,3,Rural,2004,381431.19058379123
1911,5,1,Rural,1966,153278.61083467968
1629,5,3,Rural,2014,191618.97681182748
2033,5,3,Rural,1952,234912.36891869022
2028,5,2,Rural,2016,215133.0776023814
2155,5,1,Rural,2017,211213.7896042515
2401,5,3,Rural,2000,215510.6063673248
2504,5,1,Rural,2013,258224.90005361766
1249,5,1,Rural,1965,169213.71422205947
1788,5,3,Rural,1963,227991.8249417322
2735,5,1,Rural,1979,310514.66325170064
