"TransactionID","CustomerID","CustomerDOB","CustGender","CustLocation","CustAccountBalance","TransactionDate","TransactionTime","TransactionAmount (INR)"
"T30","C8736958","19/12/86","M","GRAM PANCHAYTH HYDERABAD","","3/8/16","160636","2600"
"T31","C7648712","21/1/67","F","NEW DELHI","298461.05","3/8/16","160642","500"
"T32","C5652115","26/6/91","F","GHAZIABAD","6384.54","3/8/16","160558","10"
"T33","C1889073","25/2/85","F","BANGALORE","57791.69","3/8/16","160750","760"
"T34","C2043652","25/7/79","F","MUMBAI","123781.9","3/8/16","182714","6800"
"T35","C7017047","23/4/77","M","GURGAON","39.73","3/8/16","182715","110"
"T36","C1211387","1/1/1800","M","AHMEDABAD","11791.25","3/8/16","125915","1075"
"T37","C4320949","25/10/84","F","CHENNAI","213.06","3/8/16","182915","1081"
"T38","C2331533","30/12/97","F","GUWAHATI","44627.73","3/8/16","182918","2999"
"T39","C5338459","3/1/84","M","DHANBAD","113238.74","3/8/16","180948","1350"
"T40","C5120181","25/6/85","M","MUKTSAR","2477.42","3/8/16","183614","683"
"T41","C5838935","13/4/83","M","SOCORRO","58406.7","3/8/16","132517","50"
"T42","C7923455","6/10/92","M","ANDHERI (EAST) MUMBAI","5810.82","3/8/16","221111","12"
"T43","C2733968","6/12/92","F","AURANGABAD","12545.18","3/8/16","220926","179"
"T44","C2023055","30/7/93","M","MUMBAI","10630.88","3/8/16","222006","421.8"
"T45","C1289591","28/10/90","M","KOTA","282455.64","3/8/16","222008","900"
"T46","C3526781","2/11/80","M","CHENNAI","1589.43","3/8/16","222609","90"
"T47","C8934588","23/10/81","M","JAIPUR","5055.18","3/8/16","223146","13846"
"T48","C7542443","29/12/89","M","K V RANGAREDDY","25222.91","3/8/16","223149","59.47"
"T49","C6427687","4/7/81","M","MUZAFFARNAGAR","2162.36","2/8/16","100019","55"
"T50","C5242591","1/12/82","M","BURDWAN","22525.66","5/8/16","133136","27990"
"T51","C8624922","26/6/82","F","GURGAON","298357.41","5/8/16","133139","1388"
"T52","C6637047","25/7/66","M","PUNE","9956.49","5/8/16","133141","145"
"T53","C3815912","2/11/94","M","MUMBAI","2058.42","5/8/16","141853","519"
"T54","C8837044","20/11/88","F","LUDHIANA","8842.13","5/8/16","141704","100"
"T55","C4237628","10/4/87","M","NOIDA","196.83","5/8/16","165658","150"
"T56","C1516160","2/10/90","M","GURGAON","17070.89","5/8/16","165657","107"
"T57","C4415955","7/12/94","M","AGRA","2502.74","5/8/16","165911","1008.63"
"T58","C3932235","20/8/91","M","SHAHJAHANPUR","91.66","5/8/16","202838","110"
"T59","C5623837","7/8/84","M","DELHI","947.23","5/8/16","202943","726"
"T60","C7415323","6/3/89","M","DIST RAIGAD PANVEL","10253.21","5/8/16","202608","4387"
"T61","C7642737","7/5/88","M","DEHRADUN","27852.19","5/8/16","202725","1500"
"T62","C2431680","11/4/75","F","BANGALORE","13138.22","5/8/16","202509","412.2"
"T63","C1130989","22/10/90","M","PUNE","250.26","5/8/16","105850","60"
"T64","C3928242","1/6/89","M","JAIPUR","10067.44","5/8/16","202657","262"
"T65","C2936517","17/4/89","F","HYDERABAD","23952.37","4/8/16","83144","35"
"T66","C1040842","7/9/91","M","MUMBAI","26387.17","4/8/16","83155","1"
"T67","C8417574","17/7/90","F","MUMBAI","224685.48","4/8/16","12648","339.92"
"T68","C6730370","1/1/94","M","GODDA","13968.07","4/8/16","202956","101"
"T69","C2726074","2/10/85","F","THANE","395743.6","1/8/16","180455","9746.5"
"T70","C8017865","14/3/82","F","DELHI","87884.2","1/8/16","180546","142"
"T71","C8932791","10/9/83","M","REWARI (HARYANA)","5511.73","1/8/16","173747","6259.72"
"T72","C2725826","15/3/80","M","BANGALORE","21291.71","1/8/16","173940","213"
"T73","C6694517","10/8/77","M","GURGAON","12903.39","1/8/16","180818","666"
"T74","C7527844","16/2/82","M","BANGALORE","20.63","1/8/16","180822","3998"
"T75","C2016883","20/8/94","F","NELLORE","5922.11","1/8/16","194114","507"
"T76","C5930363","20/8/94","M","ADIPUR","2.75","1/8/16","194117","800"
"T77","C1021343","23/2/80","M","MUMBAI","134698.04","1/8/16","194733","467"
"T78","C5529374","24/6/84","M","GURGAON","15448.95","1/8/16","141850","98"
"T79","C3013442","30/10/90","M","NEW DELHI","27818.65","1/8/16","204009","57"
"T80","C6612422","25/5/67","M","DELHI","257966.29","1/8/16","204252","195.64"
"T81","C8342660","4/5/67","M","DUBAI","6190.71","1/8/16","210610","878"
"T82","C4824547","5/7/84","F","ALLAHABAD","34574.86","1/8/16","203217","326"
"T83","C1711530","15/2/92","M","DELHI","8797.55","1/8/16","220818","2997.02"
"T84","C8640537","29/8/90","F","BATHINDA","2988.21","1/8/16","220825","1642"
"T85","C3839727","20/1/83","M","GHAZIABAD","21868.16","6/8/16","90811","500"
"T86","C2715454","1/5/83","M","NASHIK","13421.46","6/8/16","32822","11"
"T87","C5931634","15/8/95","F","CHENNAI","1942.83","6/8/16","121618","28"
"T88","C7918237","3/9/74","M","JAMMU","23302.14","6/8/16","122039","2200"
"T89","C1625292","18/11/88","F","AURANGABAD","1880.1","6/8/16","121749","1499"
"T90","C2211527","13/9/84","M","BANGALORE","121767.71","6/8/16","120156","288"
"T91","C6030281","3/6/85","M","DELHI","6584.77","6/8/16","144841","100"
"T92","C1925215","3/3/78","F","BANGALORE","100371.41","6/8/16","165330","4000"
"T93","C6040326","9/2/92","M","JABALPUR","35990.54","6/8/16","165536","930"
"T94","C5232732","28/4/72","M","NEW DELHI","7330.62","6/8/16","170022","2813.62"
"T95","C1616335","17/5/81","M","MUMBAI","98097.5","6/8/16","170236","787.98"
"T96","C4226473","25/5/88","M","KASHIPUR","4001.86","6/8/16","162303","96"
"T97","C3232257","15/10/94","M","ETAH","78.33","6/8/16","174150","179"
"T98","C1717631","14/7/87","M","NEW DELHI","14916.95","6/8/16","174346","830"
"T99","C7130627","10/6/89","F","DELHI","62706.81","6/8/16","182434","3380"
"T100","C1713934","18/9/77","F","KOLKATA","22588.09","6/8/16","182603","810"
"T101","C2742048","29/4/86","F","NEW DELHI","37588.84","6/8/16","182613","1473.5"
"T102","C4953770","27/10/86","M","VADODARA","96.2","6/8/16","182741","1897"
"T103","C6427021","1/4/81","M","DELHI","31121.47","6/8/16","182927","974"
"T104","C7833983","30/11/87","F","TIRUPUR","2298.51","6/8/16","90053","50"
"T105","C7924053","15/4/71","F","KOLKATA","77587.52","6/8/16","185409","500"
"T106","C7118047","27/8/67","M","DELHI","76185.83","6/8/16","200633","1826"
"T107","C5836729","1/5/77","M","THANE","3214.87","6/8/16","203330","2898.78"
"T108","C5712211","6/11/81","M","KOLKATA","755133.35","6/8/16","203329","1803"
"T109","C5910145","14/10/77","M","GURGAON","27388.25","6/8/16","203527","205"
"T110","C8311768","6/3/90","M","SURAT","27552.35","6/8/16","225427","164"
"T111","C4417481","20/4/93","M","BANGALORE","40664.53","6/8/16","230002","2245.95"
"T112","C4974913","31/7/92","M","NAGO THANE","12.01","6/8/16","225941","59"
"T113","C3911031","16/10/89","F","KARUR DT","116592.57","5/8/16","110647","1480"
"T114","C7641090","15/6/91","M","CHITTO0R","8588.5","5/8/16","110551","1"
"T115","C7317029","19/3/92","M","K V RANGAREDDY","33.01","5/8/16","105532","40"
"T116","C4232113","16/4/91","M","MUMBAI","172.63","9/8/16","175100","599"
"T117","C5024473","5/7/83","M","INDORE","139144.83","9/8/16","183236","2066.74"
"T118","C4932115","12/6/87","F","BANGALORE","75348.06","9/8/16","183144","250"
"T119","C2611254","21/12/84","M","OFF CUBBON ROAD BANGALORE","241139.36","9/8/16","183616","25"
"T120","C6932571","24/1/89","M","BANGALORE","6023.36","9/8/16","183957","478"
"T121","C8724471","7/5/86","M","DELHI","654.36","9/8/16","183958","1000"
"T122","C4619519","23/3/88","M","THANE","140830.97","9/8/16","201148","895"
"T123","C1127458","27/9/86","M","NOIDA","23541.54","9/8/16","201338","500"
"T124","C4117761","15/1/89","M","BANGALORE","5337.59","9/8/16","201614","385"
"T125","C8441772","20/4/82","F","GURGAON","51939.21","9/8/16","194915","457"
"T126","C2024260","15/1/87","M","PIMPALI","87839.68","9/8/16","194916","1747"
"T127","C7785966","10/7/91","M","GURGAON","122636.69","9/8/16","143958","60"
"T128","C5027040","23/3/84","M","PUMP HINJEWADI PUNE","12.54","9/8/16","224849","200"
"T129","C2417034","22/2/92","F","KANJURMARG EAST","923.01","8/8/16","65118","25"
"T130","C1642073","12/10/82","M","DELHI","440199.11","8/8/16","65316","127"
"T131","C2511417","26/2/92","M","NEW DELHI","11850.45","8/8/16","70603","1150"
"T132","C6133064","28/7/91","M","HYDERABAD","25963.21","8/8/16","52256","155"
"T133","C7614444","3/4/91","M","SOUTH 24 PARGANAS","19.83","8/8/16","110319","40"
"T134","C5343690","28/4/91","F","GURGAON","65486.49","4/8/16","95925","250"
"T135","C1441611","18/4/89","M","MUMBAI","171927.54","4/8/16","95352","150"
"T136","C1611437","1/7/89","M","KOLKATA","32855.8","4/8/16","43049","75"
"T137","C1537466","25/10/90","F","MIRABHAYANDER THANE MIRA ROAD","12783.53","4/8/16","100850","50"
"T138","C4234628","18/3/88","M","MUMBAI","3186.2","4/8/16","95332","10885"
"T139","C4325284","16/3/87","M","MUMBAI","22771.72","4/8/16","165239","530.6"
"T140","C8430783","13/12/87","F","GHAZIABAD","20594.64","4/8/16","164042","555"
"T141","C6419838","25/11/90","M","MUMBAI","22880.95","4/8/16","164042","5757"
"T142","C2442760","21/2/85","F","GHAZIABAD","35790.14","4/8/16","182453","777"
"T143","C5236621","24/10/96","M","JAIPUR","45299.78","4/8/16","181251","2124"
"T144","C7226281","17/6/84","M","HYDERABAD","1551.84","4/8/16","155250","20"
"T145","C2635440","16/1/32","M","MUMBAI","228872.29","4/8/16","160124","405.52"
"T146","C5940325","24/8/94","M","SAHARANPUR","43555.69","4/8/16","160125","355"
"T147","C1272724","29/6/82","M","CHANDIGARH","4402.08","9/8/16","224655","245"
"T148","C5034425","9/11/89","M","DELHI","54033.57","9/8/16","25955","360"
"T149","C1011359","5/6/94","M","CHENNAI","179.99","9/8/16","30619","955"
"T150","C6324674","22/9/91","M","PUNE","29436.97","9/8/16","1532","70"
"T151","C8737387","3/8/89","M","GURGAON","12010.4","9/8/16","225034","299"
"T152","C3334638","1/1/1800","M","PUNE","700","9/8/16","24912","1500"
"T153","C7917762","21/1/85","F","BANGALORE","43375.42","9/8/16","24933","1986.5"
"T154","C8037570","20/6/90","M","MUMBAI","8111.52","4/8/16","200859","1274"
"T155","C6322261","14/9/87","M","ALLAHABAD","4311.29","4/8/16","201344","149"
"T156","C6943550","11/10/87","M","COMPLEX GURGAON","2495.98","4/8/16","201543","110"
"T157","C8520931","26/4/59","M","PUNE","156103.2","4/8/16","201736","2297"
"T158","C7742540","6/9/79","M","PUNE","2502.37","4/8/16","195951","170"
"T159","C7231945","9/5/92","M","MUMBAI","12.97","4/8/16","200151","101"
"T160","C7530036","2/2/79","F","GURGAON","20892.73","9/8/16","44802","1665"
"T161","C2837736","31/12/89","M","PARK PHASE-I HINJEWADI PUNE","191276.9","9/8/16","110837","217"
"T162","C1268950","15/6/91","F","MUMBAI","21756.67","9/8/16","93907","500"
"T163","C7410760","1/1/88","M","GULBARGA","5.37","9/8/16","94603","1020"
"T164","C7840374","1/1/1800","M","GHAZIABAD","24824.83","9/8/16","115520","5000"
"T165","C2215655","11/3/90","M","GURGAON","171.65","9/8/16","115655","300"
"T166","C5054958","2/12/86","F","KANPUR","5391.22","9/8/16","120616","1800"
"T167","C8695466","3/1/93","M","NAVI MUMBAI","43571.2","9/8/16","172155","2074"
"T168","C1437248","22/7/93","F","GURGAON","116584.57","9/8/16","172158","210"
"T169","C8891737","8/7/91","M","NEW DELHI","51694.63","9/8/16","173007","100"
"T170","C6125425","6/10/91","M","MUMBAI","119.47","9/8/16","172927","500"
"T171","C4023754","23/4/96","M","VISAKHAPATNAM","0.74","12/8/16","83107","100"
"T172","C4332787","29/9/90","F","NEW DELHI","63972.18","12/8/16","83118","451"
"T173","C5220931","30/1/90","F","HYDERABAD","9526.7","12/8/16","90104","100"
"T174","C1840488","29/4/89","F","DELHI","75889.12","12/8/16","82319","599"
"T175","C2918640","16/5/89","M","HISAR","41319.3","12/8/16","122132","825"
"T176","C8214849","14/5/90","M","LUCKNOW","8.49","12/8/16","121534","80"
"T177","C5698953","1/1/1800","","NAVI MUMBAI","8512.28","12/8/16","155727","3449"
"T178","C5710590","21/9/80","M","AHMEDABAD","3042.12","12/8/16","155835","2830.5"
"T179","C4631217","25/8/96","F","HYDERABAD","27940.79","12/8/16","154412","1328.72"
"T180","C4829664","1/1/81","M","GURGAON","190073.86","12/8/16","171658","50"
"T181","C8934869","22/8/92","M","MUMBAI","10074.33","12/8/16","55127","8.99"
"T182","C4834518","22/1/88","F","FORT MUMBAI","8179.54","12/8/16","182331","456"
"T183","C1638021","1/1/1800","M","NEW DELHI","9702.54","12/8/16","185134","2580"
"T184","C5523764","21/9/79","M","PATHANKOT","11.98","12/8/16","182656","2117"
"T185","C1315664","11/2/92","F","SUNDARGARH","4597.56","8/8/16","183949","64"
"T186","C8231241","19/6/89","M","NEW DELHI","407935.95","8/8/16","184034","500"
"T187","C6323747","10/8/88","M","DELHI","556731.79","8/8/16","184232","26991"
"T188","C4742524","25/4/86","M","MARGAO","22660.58","8/8/16","203329","851"
"T189","C7537492","28/11/81","M","NAVI MUMBAI","5738.43","8/8/16","194326","600"
"T190","C1516222","17/4/88","M","DHULE","17449.33","8/8/16","194955","306"
"T191","C1931276","1/1/1800","M","MOHALI","114.92","8/8/16","215840","390"
"T192","C4138629","27/4/94","M","BANGALORE","0.7","8/8/16","220036","150"
"T193","C6417852","23/1/84","M","BANGALORE NORTH","26239","8/8/16","220542","380"
"T194","C4325361","1/1/1800","M","KOLKATA","133203.58","7/8/16","93946","100000"
"T195","C5633923","12/4/91","M","NOIDA","359.23","7/8/16","94712","60"
"T196","C1938713","10/1/67","M","LUCKNOW","268685.24","7/8/16","121356","1220"
"T197","C7512180","11/11/78","M","ZIRAKPUR","1130141.97","7/8/16","115829","614"
"T198","C3720487","27/9/75","M","JAIPUR","1223.92","7/8/16","115644","69"
"T199","C8380118","20/4/74","M","SURYAPET","28758.9","7/8/16","120943","980"
"T200","C5922155","24/7/88","M","BHIWANDI","10492.25","7/8/16","125130","148"
"T201","C2440683","15/9/92","M","DELHI","1123.68","7/8/16","125130","440"
"T202","C6297162","15/8/93","M","DELHI","4546.07","7/8/16","123126","148"
"T203","C6276018","19/8/89","F","HYDERABAD","104.57","7/8/16","123129","2134.4"
"T204","C6370750","8/4/80","M","THANE","33661.57","7/8/16","122857","496.07"
"T205","C7534237","4/9/85","M","RAJKOT","1133.27","7/8/16","144525","100"
"T206","C3881215","15/6/93","M","CHENNAI","4650.59","7/8/16","150344","192"
"T207","C7675278","1/1/1800","M","NOIDA","1867210.51","7/8/16","144436","137890"
"T208","C6814469","16/6/84","M","NOIDA","132699.5","7/8/16","170456","500"
"T209","C3135066","2/10/81","F","MUMBAI","28710.33","7/8/16","165130","127.8"
"T210","C1726754","23/2/88","M","BANGALORE","6130.16","7/8/16","165812","200"
"T211","C5067828","4/1/91","F","GHAZIABAD","46936.18","7/8/16","170103","5887"
"T212","C8121828","19/4/96","M","AMBEDKAR NAGAR","84.91","7/8/16","192751","88"
"T213","C8426486","1/7/89","F","CHENNAI","13279.12","7/8/16","193120","323.72"
"T214","C5117177","8/7/84","F","DELHI","85722.72","7/8/16","193122","1378"
"T215","C1719155","6/2/72","M","PURI","10.5","7/8/16","140123","1131"
"T216","C7931754","31/5/88","M","MUMBAI","108913.62","12/8/16","63631","500"
"T217","C7034179","13/12/85","F","BANGALORE","5117.84","12/8/16","63004","15"
"T218","C7212335","26/5/86","M","NAGAI DT","21457.34","12/8/16","55544","100"
"T219","C5413870","10/12/71","M","THANE","17920.6","21/10/16","153145","200"
"T220","C2435753","17/12/80","M","NEW DELHI","45812.85","21/10/16","153910","518"
"T221","C4830619","16/7/93","M","HYDERABAD","5795.3","21/10/16","110148","203.12"
"T222","C2880664","22/7/89","M","BANGALORE","76385.67","21/10/16","151926","1294"
"T223","C9022645","nan","M","BHIWANDI","1730.3","21/10/16","150814","4000"
"T224","C2213811","13/12/87","F","HYDERABAD","16431.3","21/10/16","165639","1119"
"T225","C7541566","21/12/92","M","CHITTO0R","2.87","21/10/16","165644","40"
"T226","C2429086","13/2/79","M","NEW DELHI","26413.93","21/10/16","165644","510"
"T227","C6918371","25/5/66","F","KERALA","801229.49","21/10/16","161925","1550"
"T228","C7527049","17/4/66","M","SURAT","5407.86","21/10/16","162705","149"
"T229","C6058483","4/6/90","M","GHINGHARTOLA TEH BAGESHWAR DIST","4044.37","21/10/16","162707","40"
"T230","C4456638","19/7/67","F","NEW DELHI","36278.83","21/10/16","160047","500"
"T231","C2811892","16/3/89","M","MUMBAI","344.25","21/10/16","160048","220"
"T232","C7823561","9/2/91","M","MUMBAI","3875.77","21/10/16","160125","30"
"T233","C6520033","12/3/89","M","MUMBAI","121747.74","21/10/16","152746","200"
"T234","C2110492","5/7/83","F","BANGALORE","40366.35","21/10/16","153030","4200"
"T235","C4217328","19/9/88","M","BANGALORE","15693.31","21/10/16","160043","200"
"T236","C6927275","10/11/86","M","CHENNAI","44164.97","21/10/16","151615","3142"
"T237","C2042372","24/8/85","F","NOIDA","121821.27","21/10/16","151650","1219.04"
"T238","C3727411","21/2/87","F","ROURKELA","167.1","21/10/16","150740","199"
"T239","C5136863","24/6/87","M","MUPPALLA GUNTUR","6209.42","21/10/16","170612","708.05"
"T240","C2434983","29/11/88","M","MUMBAI","930.8","21/10/16","165854","100"
"T241","C1626454","5/8/73","M","MUMBAI","25296.5","21/10/16","165639","2000"
"T242","C1316616","26/5/66","F","NEWDELHI","20422.76","21/10/16","155655","800"
"T243","C5042661","16/3/74","F","NEW DELHI","15147.88","21/10/16","153545","1000"
"T244","C4531588","31/10/93","F","DELHI","2257.58","21/10/16","145417","460"
"T245","C5528968","1/1/1800","M","PIPARIYA","5724.5","21/10/16","145424","4478"
"T246","C4814390","1/10/71","F","MIRA ROAD E","78122.46","21/10/16","150436","47290"
"T247","C6437438","22/5/83","F","BHUBANESHWAR","324551.5","21/10/16","151154","25000"
"T248","C8738676","1/1/1800","M","RAJPURA","362200.72","21/10/16","151251","53000"
"T249","C1812573","14/1/87","F","SAHARANPUR","41268.37","21/10/16","151201","35"
"T250","C8915718","26/6/86","F","PANCHKULA","22802.23","21/10/16","145515","100"
"T251","C5334280","20/8/74","M","ROURKELA","13996.1","21/10/16","155146","100"
"T252","C5920074","26/10/83","F","FARIDABAD","48587.19","21/10/16","150848","1595"
"T253","C1733292","4/11/89","M","CHENNAI","174684.91","21/10/16","150848","283"
"T254","C6230681","19/11/89","F","BANGALORE","7948.27","21/10/16","171343","68"
"T255","C1977592","30/10/93","M","JALANDHAR","155684.44","21/10/16","152514","3034.5"
"T256","C4418491","5/3/90","F","DELHI","17555.91","21/10/16","162522","110"
"T257","C5212180","18/3/86","F","MUMBAI","168034.54","21/10/16","161714","10"
"T258","C5227319","18/5/80","F","WEST MUMBAI","4459.73","21/10/16","152525","2870"
"T259","C9016392","24/8/90","M","DELHI","9236.65","21/10/16","164132","259"
"T260","C3531473","3/12/89","M","KOLKATA","13592.65","21/10/16","154628","1128.37"
"T261","C7340149","28/6/77","M","GWALIOR","134969.65","21/10/16","152653","2200"
"T262","C8091089","10/4/73","M","INDORE","7967.47","21/10/16","152237","330"
"T263","C7878838","1/1/1800","M","SECTOR 21 KHARGHAR NAVI MUMBAI","444234.73","21/10/16","145620","201"
"T264","C8917722","1/1/1800","M","GURGAON","16369.59","21/10/16","171139","30990"
"T265","C8627747","19/2/83","F","PUNE","9158.59","21/10/16","171417","899"
"T266","C5312019","23/4/94","M","MUMBAI","1318.31","21/10/16","152802","110"
"T267","C7621186","12/3/84","M","THANE","1629.89","21/10/16","160005","500"
"T268","C7832128","1/1/1800","F","PUNE","7211.41","21/10/16","155702","4740"
"T269","C8910280","17/7/91","M","NEW DELHI","17146.97","21/10/16","154907","200"
"T270","C2526046","7/1/88","F","KOLKATA","31369.53","21/10/16","151510","1735"
"T271","C2632615","18/2/99","M","BAGHPAT","10266.36","21/10/16","152328","327"
"T272","C2822770","1/1/1800","M","NEW DELHI","1426.19","21/10/16","152908","6652.72"
"T273","C8439216","6/4/93","M","GURGAON","10016.68","21/10/16","151032","412.65"
"T274","C6432618","12/8/87","M","BANGALORE","394220.21","21/10/16","151407","42"
"T275","C5310729","16/1/83","M","NOIDA","16475.24","21/10/16","154322","128"
"T276","C5741387","2/7/84","F","KOLKATA","56450.72","21/10/16","150740","722"
"T277","C6676689","2/5/83","F","BANGALORE","56736.02","21/10/16","162210","1488"
"T278","C7472456","17/3/92","F","BANGALORE","4341.39","21/10/16","145841","50"
"T279","C3117918","6/1/85","M","PUNE","181.22","21/10/16","170239","200"
"T280","C1837362","15/8/65","F","NEW DELHI","46278.49","21/10/16","153618","1300"
"T281","C1428060","27/6/86","M","NOIDA","38506.22","21/10/16","152918","610"
"T282","C7629962","18/5/82","F","RAJPURA","28012.42","21/10/16","153203","655"
"T283","C7921623","18/7/88","M","AMBALA","100780.55","21/10/16","153948","1203"
"T284","C5129934","17/5/85","F","ZONE WHITEFIELD BANGALORE","36724.28","21/10/16","151743","600"
"T285","C7327571","19/4/85","M","NEW DELHI","78479.33","21/10/16","163453","18"
"T286","C3460025","26/6/91","M","GORAKHPUR","28185.38","21/10/16","163704","1720"
"T287","C7812071","21/11/93","M","NEW DELHI","8585.51","21/10/16","150606","1150"
"T288","C1728525","16/3/91","M","MUMBAI","462.12","21/10/16","150850","2647"
"T289","C4636775","23/9/86","M","MOHALI","390.04","21/10/16","150850","567"
"T290","C3871476","12/9/86","F","DELHI","71403.21","21/10/16","151129","1000"
"T291","C5122418","10/10/85","M","CHENNAI","52608.41","21/10/16","151910","11364"
"T292","C8920230","2/8/72","M","GURGAON","30809.31","21/10/16","152114","350"
"T293","C4336382","19/7/78","M","GHAZIABAD","25419.25","21/10/16","171125","1890"
"T294","C7058034","6/3/92","F","CHENNAI","184680.72","21/10/16","150915","50"
"T295","C5411869","24/12/99","M","BARAMATI","7486.12","21/10/16","151037","1000"
"T296","C6952840","5/11/81","M","DELHI","63.58","21/10/16","165950","634.12"
"T297","C8732711","9/2/79","F","YAMUNANAGAR","82130.58","21/10/16","165100","1423"
"T298","C7421711","4/5/88","M","NEW DELHI","32511.6","21/10/16","155658","1870"
"T299","C3151961","10/1/87","M","NEW DELHI","7336.76","21/10/16","55209","50"
"T300","C7338641","24/7/82","M","GURGAON","60659.23","21/10/16","152729","2968"
"T301","C4318459","13/12/88","F","GHAZIABAD","25471.44","21/10/16","170828","620"
"T302","C7325318","7/3/87","M","MANGALORE","72118.89","21/10/16","155949","699"
"T303","C7136280","6/1/84","M","TALUK BANGALORE","133.8","21/10/16","155952","2400"
"T304","C4026349","1/1/1800","M","NEW DELHI","150501.26","21/10/16","150600","357"
"T305","C3418523","12/7/82","M","LUCKNOW","951.07","21/10/16","163142","21060"
"T306","C7118840","29/5/94","M","GUNTUR","5393.9","21/10/16","152024","45"
"T307","C9045422","13/6/87","M","FIROZABAD","96798.63","21/10/16","153044","550"
"T308","C2324371","9/11/41","M","PONDICHERRY","5950.17","21/10/16","153920","969"
"T309","C7119722","15/4/92","M","RAIGAD","9464.85","21/10/16","152550","30"
"T310","C4111528","20/1/96","M","BULANDSHAHR","342.98","21/10/16","152749","50"
"T311","C4241947","21/3/91","F","HYDERABAD","2540.13","21/10/16","152752","94"
"T312","C1851438","29/9/85","F","NEW DELHI","17907.01","21/10/16","153745","400"
"T313","C3537555","6/4/84","M","MUMBAI","9.57","21/10/16","153910","221.75"
"T314","C8046459","25/11/54","M","THRISSUR","137410.23","21/10/16","153048","36500"
"T315","C4637288","25/10/93","F","CHENNAI","812.53","21/10/16","150427","25"
"T316","C3126340","3/6/81","M","KOLKATA","177950.63","21/10/16","150431","865"
"T317","C7358678","27/4/70","M","MOHALI","5802.91","21/10/16","145900","695"
"T318","C6533711","8/2/92","M","PUNE","6090.05","21/10/16","145918","50"
"T319","C7229966","16/6/88","M","DELHI","17761.95","21/10/16","145520","600"
"T320","C8340771","13/9/89","F","BANGALORE","9643.67","21/10/16","164545","550"
"T321","C7412163","17/10/86","M","MUMBAI","43114.86","21/10/16","155721","2299"
"T322","C7077319","30/5/85","M","MOHALI","176012.36","21/10/16","154615","222"
"T323","C5113983","26/8/96","M","SONIPAT","10498.91","21/10/16","155125","2249"
"T324","C1842088","31/12/86","F","MUMBAI","179659.4","21/10/16","154626","999"
"T325","C5115757","29/5/75","M","BANGALORE","541701.53","21/10/16","154305","1512.75"
"T326","C2025386","1/1/1800","M","PANCHKULA","161886.6","21/10/16","152051","500"
"T327","C2831424","29/8/84","M","THANE","21700.36","21/10/16","170329","145"
"T328","C5141914","5/1/81","F","NEW DELHI","9372.35","21/10/16","161539","343"
"T329","C6842357","29/10/81","F","MUMBAI","55878.83","21/10/16","150852","6129"
